Team A,Team B,Team A Wins,Index A,Index B,Div A,Div B
License to Kilt (fka Scoobers in Scotland),JHOP,False,15,17,4/3 Div 2,4/3 Div 2
License to Kilt (fka Scoobers in Scotland),Stack to the Future,True,15,35,4/3 Div 2,4/3 Div 3
License to Kilt (fka Scoobers in Scotland),Toads,True,15,16,4/3 Div 2,4/3 Div 2
License to Kilt (fka Scoobers in Scotland),Rubs The Duckie,True,15,18,4/3 Div 2,4/3 Div 2
License to Kilt (fka Scoobers in Scotland),Rogues' Gallery,True,15,24,4/3 Div 2,4/3 Div 2
License to Kilt (fka Scoobers in Scotland),SHRedline,False,15,51,4/3 Div 2,5/2 Div 2
License to Kilt (fka Scoobers in Scotland),Moose Lightning,True,15,27,4/3 Div 2,4/3 Div 2
License to Kilt (fka Scoobers in Scotland),Hipster Kitties,True,15,30,4/3 Div 2,4/3 Div 2
License to Kilt (fka Scoobers in Scotland),A Lil Bit Sticky,True,15,25,4/3 Div 2,4/3 Div 2
License to Kilt (fka Scoobers in Scotland),Booooooosh!,True,15,22,4/3 Div 2,4/3 Div 2
Toads,Baboon Heart,True,16,37,4/3 Div 2,4/3 Div 3
Toads,Store Bought Dirt,False,16,20,4/3 Div 2,4/3 Div 2
Toads,Top Shelf,True,16,38,4/3 Div 2,4/3 Div 3
Toads,Lady and the BAMF,True,16,28,4/3 Div 2,4/3 Div 2
Toads,A Lil Bit Sticky,True,16,25,4/3 Div 2,4/3 Div 2
Toads,Spam,True,16,60,4/3 Div 2,5/2 Div 3
Toads,Rabbit Disc,True,16,54,4/3 Div 2,5/2 Div 3
Toads,Rogues' Gallery,True,16,24,4/3 Div 2,4/3 Div 2
Toads,Moose Lightning,True,16,27,4/3 Div 2,4/3 Div 2
Toads,TuneSquad Squared,True,16,31,4/3 Div 2,4/3 Div 2
Toads,Lady and the BAMF,True,16,28,4/3 Div 2,4/3 Div 2
Toads,Store Bought Dirt,False,16,20,4/3 Div 2,4/3 Div 2
Toads,Nerd Alert,False,16,26,4/3 Div 2,4/3 Div 2
Toads,Tubbs,True,16,29,4/3 Div 2,4/3 Div 2
Toads,JHOP,True,16,17,4/3 Div 2,4/3 Div 2
Toads,Killer Bees,True,16,61,4/3 Div 2,5/2 Div 3
Toads,Rubs The Duckie,False,16,18,4/3 Div 2,4/3 Div 2
Toads,Underwater Monkey Cowboys,True,16,36,4/3 Div 2,4/3 Div 3
Toads,Fetch,False,16,21,4/3 Div 2,4/3 Div 2
JHOP,Fetch,False,17,21,4/3 Div 2,4/3 Div 2
JHOP,Store Bought Dirt,True,17,20,4/3 Div 2,4/3 Div 2
JHOP,Top Shelf,True,17,38,4/3 Div 2,4/3 Div 3
JHOP,Tubbs,True,17,29,4/3 Div 2,4/3 Div 2
JHOP,Stack to the Future,True,17,35,4/3 Div 2,4/3 Div 3
JHOP,Disc Envy,True,17,19,4/3 Div 2,4/3 Div 2
JHOP,Oddjob,True,17,33,4/3 Div 2,4/3 Div 3
JHOP,Booooooosh!,True,17,22,4/3 Div 2,4/3 Div 2
JHOP,Rogues' Gallery,False,17,24,4/3 Div 2,4/3 Div 2
JHOP,Nerd Alert,True,17,26,4/3 Div 2,4/3 Div 2
JHOP,TuneSquad Squared,True,17,31,4/3 Div 2,4/3 Div 2
JHOP,Lady and the BAMF,True,17,28,4/3 Div 2,4/3 Div 2
Rubs The Duckie,Moose Lightning,True,18,27,4/3 Div 2,4/3 Div 2
Rubs The Duckie,Nerd Alert,False,18,26,4/3 Div 2,4/3 Div 2
Rubs The Duckie,Hipster Kitties,True,18,30,4/3 Div 2,4/3 Div 2
Rubs The Duckie,TuneSquad Squared,True,18,31,4/3 Div 2,4/3 Div 2
Rubs The Duckie,Store Bought Dirt,True,18,20,4/3 Div 2,4/3 Div 2
Rubs The Duckie,Dominion,True,18,23,4/3 Div 2,4/3 Div 2
Rubs The Duckie,Rogues' Gallery,True,18,24,4/3 Div 2,4/3 Div 2
Rubs The Duckie,Disc Envy,True,18,19,4/3 Div 2,4/3 Div 2
Disc Envy,Store Bought Dirt,True,19,20,4/3 Div 2,4/3 Div 2
Disc Envy,Fetch,True,19,21,4/3 Div 2,4/3 Div 2
Disc Envy,A Lil Bit Sticky,True,19,25,4/3 Div 2,4/3 Div 2
Disc Envy,Baboon Heart,True,19,37,4/3 Div 2,4/3 Div 3
Disc Envy,Booooooosh!,True,19,22,4/3 Div 2,4/3 Div 2
Disc Envy,Moose Lightning,True,19,27,4/3 Div 2,4/3 Div 2
Disc Envy,Rogues' Gallery,False,19,24,4/3 Div 2,4/3 Div 2
Disc Envy,Lady and the BAMF,True,19,28,4/3 Div 2,4/3 Div 2
Disc Envy,Top Shelf,True,19,38,4/3 Div 2,4/3 Div 3
Disc Envy,Nerd Alert,False,19,26,4/3 Div 2,4/3 Div 2
Disc Envy,TuneSquad Squared,True,19,31,4/3 Div 2,4/3 Div 2
Store Bought Dirt,M.O.B.,True,20,65,4/3 Div 2,5/2 Div 3
Store Bought Dirt,Underwater Monkey Cowboys,True,20,36,4/3 Div 2,4/3 Div 3
Store Bought Dirt,Nerd Alert,True,20,26,4/3 Div 2,4/3 Div 2
Store Bought Dirt,Dominion,False,20,23,4/3 Div 2,4/3 Div 2
Store Bought Dirt,Fetch,True,20,21,4/3 Div 2,4/3 Div 2
Store Bought Dirt,Top Shelf,True,20,38,4/3 Div 2,4/3 Div 3
Store Bought Dirt,Tubbs,True,20,29,4/3 Div 2,4/3 Div 2
Store Bought Dirt,Hipster Kitties,True,20,30,4/3 Div 2,4/3 Div 2
Store Bought Dirt,123 Trap!,True,20,39,4/3 Div 2,4/3 Div 3
Store Bought Dirt,TuneSquad Squared,True,20,31,4/3 Div 2,4/3 Div 2
Store Bought Dirt,Stack to the Future,False,20,35,4/3 Div 2,4/3 Div 3
Store Bought Dirt,A Lil Bit Sticky,False,20,25,4/3 Div 2,4/3 Div 2
Store Bought Dirt,Flying Salsa,True,20,56,4/3 Div 2,5/2 Div 3
Fetch,Baboon Heart,True,21,37,4/3 Div 2,4/3 Div 3
Fetch,Booooooosh!,False,21,22,4/3 Div 2,4/3 Div 2
Fetch,Lady and the BAMF,True,21,28,4/3 Div 2,4/3 Div 2
Fetch,TuneSquad Squared,True,21,31,4/3 Div 2,4/3 Div 2
Fetch,Lady and the BAMF,True,21,28,4/3 Div 2,4/3 Div 2
Fetch,Tubbs,True,21,29,4/3 Div 2,4/3 Div 2
Fetch,Booooooosh!,False,21,22,4/3 Div 2,4/3 Div 2
Fetch,Moose Lightning,True,21,27,4/3 Div 2,4/3 Div 2
Booooooosh!,Lady and the BAMF,True,22,28,4/3 Div 2,4/3 Div 2
Booooooosh!,Tofu Wolf,True,22,59,4/3 Div 2,5/2 Div 3
Dominion,Lady and the BAMF,True,23,28,4/3 Div 2,4/3 Div 2
Dominion,TuneSquad Squared,True,23,31,4/3 Div 2,4/3 Div 2
Dominion,Rogues' Gallery,True,23,24,4/3 Div 2,4/3 Div 2
Dominion,Nerd Alert,True,23,26,4/3 Div 2,4/3 Div 2
Dominion,Tubbs,True,23,29,4/3 Div 2,4/3 Div 2
Rogues' Gallery,Nerd Alert,True,24,26,4/3 Div 2,4/3 Div 2
Rogues' Gallery,Tubbs,True,24,29,4/3 Div 2,4/3 Div 2
Rogues' Gallery,Stack to the Future,True,24,35,4/3 Div 2,4/3 Div 3
Rogues' Gallery,Top Shelf,True,24,38,4/3 Div 2,4/3 Div 3
Rogues' Gallery,SHRedline,True,24,51,4/3 Div 2,5/2 Div 2
Rogues' Gallery,A Lil Bit Sticky,False,24,25,4/3 Div 2,4/3 Div 2
Rogues' Gallery,Moose Lightning,False,24,27,4/3 Div 2,4/3 Div 2
Rogues' Gallery,Hipster Kitties,True,24,30,4/3 Div 2,4/3 Div 2
Rogues' Gallery,Oddjob,True,24,33,4/3 Div 2,4/3 Div 3
A Lil Bit Sticky,Nerd Alert,True,25,26,4/3 Div 2,4/3 Div 2
A Lil Bit Sticky,Tubbs,True,25,29,4/3 Div 2,4/3 Div 2
A Lil Bit Sticky,Baba Yaga,False,25,45,4/3 Div 2,5/2 Div 2
A Lil Bit Sticky,Hipster Kitties,True,25,30,4/3 Div 2,4/3 Div 2
A Lil Bit Sticky,Moose Lightning,False,25,27,4/3 Div 2,4/3 Div 2
Nerd Alert,Tubbs,True,26,29,4/3 Div 2,4/3 Div 2
Nerd Alert,Get Flat Ultimate,False,26,49,4/3 Div 2,5/2 Div 2
Nerd Alert,TuneSquad Squared,True,26,31,4/3 Div 2,4/3 Div 2
Nerd Alert,Hipster Kitties,True,26,30,4/3 Div 2,4/3 Div 2
Nerd Alert,123 Trap!,True,26,39,4/3 Div 2,4/3 Div 3
Nerd Alert,Too Drunk to Fail,False,26,32,4/3 Div 2,4/3 Div 3
Nerd Alert,Oddjob,False,26,33,4/3 Div 2,4/3 Div 3
Moose Lightning,Tubbs,True,27,29,4/3 Div 2,4/3 Div 2
Lady and the BAMF,Underwater Monkey Cowboys,True,28,36,4/3 Div 2,4/3 Div 3
Lady and the BAMF,Baboon Heart,True,28,37,4/3 Div 2,4/3 Div 3
Lady and the BAMF,Jiggy,True,28,63,4/3 Div 2,5/2 Div 3
Lady and the BAMF,Baba Yaga,False,28,45,4/3 Div 2,5/2 Div 2
Lady and the BAMF,Oddjob,False,28,33,4/3 Div 2,4/3 Div 3
Lady and the BAMF,Stack to the Future,True,28,35,4/3 Div 2,4/3 Div 3
Lady and the BAMF,Hipster Kitties,True,28,30,4/3 Div 2,4/3 Div 2
Tubbs,Jiggy,True,29,63,4/3 Div 2,5/2 Div 3
Tubbs,TuneSquad Squared,True,29,31,4/3 Div 2,4/3 Div 2
Tubbs,Baba Yaga,False,29,45,4/3 Div 2,5/2 Div 2
Hipster Kitties,123 Trap!,True,30,39,4/3 Div 2,4/3 Div 3
Hipster Kitties,Tofu Wolf,True,30,59,4/3 Div 2,5/2 Div 3
Hipster Kitties,Too Drunk to Fail,False,30,32,4/3 Div 2,4/3 Div 3
Hipster Kitties,Spam,False,30,60,4/3 Div 2,5/2 Div 3
Hipster Kitties,Underwater Monkey Cowboys,False,30,36,4/3 Div 2,4/3 Div 3
TuneSquad Squared,Batman and the Robins,False,31,34,4/3 Div 2,4/3 Div 3
TuneSquad Squared,Oddjob,False,31,33,4/3 Div 2,4/3 Div 3
TuneSquad Squared,Stack to the Future,False,31,35,4/3 Div 2,4/3 Div 3
TuneSquad Squared,Too Drunk to Fail,False,31,32,4/3 Div 2,4/3 Div 3
Too Drunk to Fail,Underwater Monkey Cowboys,True,32,36,4/3 Div 3,4/3 Div 3
Too Drunk to Fail,Oddjob,False,32,33,4/3 Div 3,4/3 Div 3
Too Drunk to Fail,Stack to the Future,True,32,35,4/3 Div 3,4/3 Div 3
Too Drunk to Fail,123 Trap!,True,32,39,4/3 Div 3,4/3 Div 3
Too Drunk to Fail,Alpha No Beta,True,32,58,4/3 Div 3,5/2 Div 3
Too Drunk to Fail,Jiggy,True,32,63,4/3 Div 3,5/2 Div 3
Too Drunk to Fail,Batman and the Robins,True,32,34,4/3 Div 3,4/3 Div 3
Too Drunk to Fail,Underwater Monkey Cowboys,True,32,36,4/3 Div 3,4/3 Div 3
Too Drunk to Fail,Tofu Wolf,True,32,59,4/3 Div 3,5/2 Div 3
Oddjob,Spam,True,33,60,4/3 Div 3,5/2 Div 3
Oddjob,123 Trap!,True,33,39,4/3 Div 3,4/3 Div 3
Oddjob,Tofu Wolf,False,33,59,4/3 Div 3,5/2 Div 3
Oddjob,Alpha No Beta,False,33,58,4/3 Div 3,5/2 Div 3
Oddjob,Batman and the Robins,True,33,34,4/3 Div 3,4/3 Div 3
Oddjob,Spam,True,33,60,4/3 Div 3,5/2 Div 3
Oddjob,Underwater Monkey Cowboys,True,33,36,4/3 Div 3,4/3 Div 3
Oddjob,Tofu Wolf,False,33,59,4/3 Div 3,5/2 Div 3
Oddjob,Stack to the Future,True,33,35,4/3 Div 3,4/3 Div 3
Oddjob,Underwater Monkey Cowboys,True,33,36,4/3 Div 3,4/3 Div 3
Oddjob,Killer Bees,True,33,61,4/3 Div 3,5/2 Div 3
Oddjob,Baboon Heart,True,33,37,4/3 Div 3,4/3 Div 3
Batman and the Robins,Stack to the Future,False,34,35,4/3 Div 3,4/3 Div 3
Batman and the Robins,Killer Bees,True,34,61,4/3 Div 3,5/2 Div 3
Batman and the Robins,123 Trap!,True,34,39,4/3 Div 3,4/3 Div 3
Batman and the Robins,Baboon Heart,True,34,37,4/3 Div 3,4/3 Div 3
Batman and the Robins,Underwater Monkey Cowboys,False,34,36,4/3 Div 3,4/3 Div 3
Batman and the Robins,Rabbit Disc,False,34,54,4/3 Div 3,5/2 Div 3
Batman and the Robins,Jiggy,True,34,63,4/3 Div 3,5/2 Div 3
Batman and the Robins,Tofu Wolf,False,34,59,4/3 Div 3,5/2 Div 3
Batman and the Robins,Spawning Alewives,True,34,66,4/3 Div 3,5/2 Div 3
Stack to the Future,Spam,True,35,60,4/3 Div 3,5/2 Div 3
